source,target
AirForce,NevadaLasVegas
Akron,BowlingGreenState
Akron,Buffalo
Akron,CentralFlorida
Akron,CentralMichigan
Akron,Connecticut
Akron,Kent
Akron,Marshall
Akron,MiamiOhio
Akron,Ohio
Akron,VirginiaTech
Alabama,Arkansas
Alabama,CentralFlorida
Alabama,LouisianaState
Alabama,Mississippi
Alabama,MississippiState
Alabama,SouthCarolina
Alabama,SouthernMississippi
Alabama,Tennessee
Alabama,UCLA
Alabama,Vanderbilt
Arizona,OhioState
Arizona,Oregon
Arizona,OregonState
Arizona,Stanford
Arizona,Utah
Arizona,Washington
Arizona,WashingtonState
ArizonaState,Arizona
ArizonaState,California
ArizonaState,ColoradoState
ArizonaState,Oregon
ArizonaState,SanDiegoState
ArizonaState,Stanford
ArizonaState,UCLA
ArizonaState,UtahState
ArizonaState,Washington
ArizonaState,WashingtonState
ArkansasState,BoiseState
ArkansasState,Idaho
ArkansasState,Memphis
ArkansasState,Mississippi
ArkansasState,NewMexicoState
ArkansasState,NorthCarolinaState
ArkansasState,Oklahoma
ArkansasState,TexasChristian
ArkansasState,UtahState
Army,AirForce
Army,AlabamaBirmingham
Army,Cincinnati
Auburn,Alabama
Auburn,Arkansas
Auburn,Florida
Auburn,Georgia
Auburn,LouisianaState
Auburn,LouisianaTech
Auburn,Mississippi
Auburn,MississippiState
Auburn,Vanderbilt
BallState,Buffalo
BallState,CentralMichigan
BallState,Connecticut
BallState,EasternMichigan
BallState,Florida
BallState,MiamiOhio
BallState,Toledo
Baylor,IowaState
Baylor,Minnesota
Baylor,Missouri
Baylor,Nebraska
Baylor,NorthTexas
Baylor,Oklahoma
Baylor,OklahomaState
Baylor,Texas
Baylor,TexasA&M
BoiseState,Arkansas
BoiseState,CentralMichigan
BoiseState,Idaho
BoiseState,NewMexicoState
BoiseState,UtahState
BoiseState,WashingtonState
BostonCollege,Army
BostonCollege,Connecticut
BostonCollege,MiamiFlorida
BostonCollege,Navy
BostonCollege,NotreDame
BostonCollege,Pittsburgh
BostonCollege,Rutgers
BostonCollege,Syracuse
BostonCollege,Temple
BostonCollege,WestVirginia
BowlingGreenState,Buffalo
BowlingGreenState,EasternMichigan
BowlingGreenState,Kent
BowlingGreenState,Marshall
BowlingGreenState,MiamiOhio
BowlingGreenState,Michigan
BowlingGreenState,Ohio
BowlingGreenState,Pittsburgh
BowlingGreenState,Temple
BowlingGreenState,Toledo
BrighamYoung,AirForce
BrighamYoung,ColoradoState
BrighamYoung,FloridaState
BrighamYoung,MississippiState
BrighamYoung,NevadaLasVegas
BrighamYoung,NewMexico
BrighamYoung,SanDiegoState
BrighamYoung,Syracuse
BrighamYoung,Utah
BrighamYoung,UtahState
BrighamYoung,Virginia
BrighamYoung,Wyoming
Buffalo,Connecticut
Buffalo,Kent
Buffalo,Marshall
Buffalo,MiamiOhio
Buffalo,Ohio
Buffalo,Rutgers
Buffalo,Syracuse
CentralFlorida,EasternMichigan
CentralFlorida,GeorgiaTech
CentralFlorida,LouisianaMonroe
CentralFlorida,LouisianaTech
CentralMichigan,EasternMichigan
CentralMichigan,Kent
CentralMichigan,Ohio
