source,target,weight
Babet,Brujon,3
Babet,Claquesous,4
Babet,Montparnasse,2
Bahorel,Bossuet,4
Bahorel,Grantaire,1
Bahorel,Joly,5
Bahorel,MmeHucheloup,1
Bamatabois,Brevet,1
Bamatabois,Champmathieu,2
Bamatabois,Chenildieu,1
Bamatabois,Cochepaille,1
Bamatabois,Judge,2
Blacheville,Dahlia,3
Blacheville,Fantine,3
Blacheville,Favourite,4
Blacheville,Zephine,3
Bossuet,Grantaire,3
Bossuet,Joly,7
Bossuet,MmeHucheloup,1
Brevet,Chenildieu,2
Brevet,Cochepaille,2
Champmathieu,Brevet,2
Champmathieu,Chenildieu,2
Champmathieu,Cochepaille,2
Chenildieu,Cochepaille,2
Child1,Child2,3
Claquesous,Brujon,1
Claquesous,Montparnasse,2
Combeferre,Bahorel,5
Combeferre,Bossuet,9
Combeferre,Courfeyrac,13
Combeferre,Feuilly,5
Combeferre,Grantaire,1
Combeferre,Joly,5
Combeferre,Prouvaire,2
Cosette,Gillenormand,3
Cosette,Javert,1
Cosette,LtGillenormand,1
Cosette,Marius,21
Cosette,MlleGillenormand,2
Cosette,Toussaint,2
Cosette,Woman2,1
Courfeyrac,Bahorel,6
Courfeyrac,Bossuet,12
Courfeyrac,Grantaire,2
Courfeyrac,Joly,5
Courfeyrac,MmeHucheloup,1
Dahlia,Fantine,4
Dahlia,Zephine,4
Enjolras,Bahorel,4
Enjolras,Bossuet,10
Enjolras,Claquesous,1
Enjolras,Combeferre,15
Enjolras,Courfeyrac,17
Enjolras,Feuilly,6
Enjolras,Grantaire,3
Enjolras,Joly,5
Enjolras,MmeHucheloup,1
Enjolras,Prouvaire,4
Eponine,Anzelma,2
Eponine,Babet,1
Eponine,Brujon,1
Eponine,Claquesous,1
Eponine,Courfeyrac,1
Eponine,Gueulemer,1
Eponine,Mabeuf,1
Eponine,Marius,5
Eponine,Montparnasse,1
Fameuil,Blacheville,4
Fameuil,Dahlia,3
Fameuil,Fantine,3
Fameuil,Favourite,3
Fameuil,Zephine,3
Fantine,Bamatabois,1
Fantine,Javert,5
Fantine,MmeThenardier,2
Fantine,Perpetue,1
Fantine,Simplice,2
Fantine,Thenardier,1
Fauchelevent,Gribier,2
Fauchelevent,MotherInnocent,3
Favourite,Dahlia,5
Favourite,Fantine,4
Favourite,Zephine,4
Feuilly,Bahorel,3
Feuilly,Bossuet,6
Feuilly,Courfeyrac,6
Feuilly,Grantaire,1
Feuilly,Joly,5
Gavroche,Babet,1
Gavroche,Bahorel,5
Gavroche,Bossuet,5
Gavroche,Brujon,1
Gavroche,Child1,2
Gavroche,Child2,2
Gavroche,Combeferre,6
Gavroche,Courfeyrac,7
Gavroche,Enjolras,7
Gavroche,Feuilly,2
Gavroche,Grantaire,1
Gavroche,Gueulemer,1
Gavroche,Joly,3
Gavroche,Mabeuf,1
Gavroche,Marius,4
Gavroche,MmeHucheloup,1
Gavroche,Montparnasse,1
Gavroche,Prouvaire,1
Gillenormand,BaronessT,1
Gillenormand,LtGillenormand,1
Gillenormand,Magnon,1
Gillenormand,Marius,12
Gillenormand,MlleGillenormand,9
Grantaire,MmeHucheloup,1
Gueulemer,Babet,6
Gueulemer,Brujon,3
Gueulemer,Claquesous,4
Gueulemer,Montparnasse,2
Javert,Babet,2
Javert,Bamatabois,1
Javert,Claquesous,1
Javert,Enjolras,6
Javert,Fauchelevent,1
Javert,Gavroche,1
Javert,Gueulemer,1
Javert,Montparnasse,1
Javert,Simplice,1
Javert,Toussaint,1
Javert,Woman1,1
Javert,Woman2,1
Joly,Grantaire,2
Joly,MmeHucheloup,1
Judge,Brevet,2
Judge,Champmathieu,3
Judge,Chenildieu,2
Judge,Cochepaille,2
Listolier,Blacheville,4
Listolier,Dahlia,3
Listolier,Fameuil,4
Listolier,Fantine,3
Listolier,Favourite,3
Listolier,Tholomyes,4
Listolier,Zephine,3
LtGillenormand,Marius,1
Mabeuf,Bahorel,2
Mabeuf,Bossuet,1
Mabeuf,Combeferre,2
Mabeuf,Courfeyrac,2
